program_id,athlete_id,athlete_first_name,athlete_last_name,country,start_number,swim,t1,bike,t2,run,position,total_time,event,host_country
4392,73138,Igor,Sysoev,RUS,26,0 days 00:18:01,0 days 00:00:31,0 days 00:59:15,0 days 00:00:29,0 days 00:31:41,9.0,0 days 01:49:59,beijing_2008,CHN
4392,5321,Frederic,Belaubre,FRA,38,0 days 00:18:02,0 days 00:00:27,0 days 00:59:11,0 days 00:00:29,0 days 00:31:48,10.0,0 days 01:50:00,beijing_2008,CHN
4392,5591,Courtney,Atkinson,AUS,11,0 days 00:18:05,0 days 00:00:26,0 days 00:59:08,0 days 00:00:29,0 days 00:31:59,11.0,0 days 01:50:10,beijing_2008,CHN
4392,7788,Alistair,Brownlee,GBR,35,0 days 00:18:11,0 days 00:00:26,0 days 00:59:05,0 days 00:00:29,0 days 00:32:07,12.0,0 days 01:50:19,beijing_2008,CHN
4392,5652,Axel,Zeebroek,BEL,18,0 days 00:18:29,0 days 00:00:26,0 days 00:57:47,0 days 00:00:29,0 days 00:33:15,13.0,0 days 01:50:30,beijing_2008,CHN
4392,6560,William,Clarke,GBR,36,0 days 00:18:53,0 days 00:00:26,0 days 00:58:23,0 days 00:00:31,0 days 00:32:18,14.0,0 days 01:50:32,beijing_2008,CHN
4392,5824,Christian,Prochnow,GER,33,0 days 00:18:23,0 days 00:00:26,0 days 00:58:55,0 days 00:00:26,0 days 00:32:21,15.0,0 days 01:50:33,beijing_2008,CHN
4392,5711,Brad,Kahlefeldt,AUS,12,0 days 00:18:16,0 days 00:00:29,0 days 00:58:55,0 days 00:00:27,0 days 00:32:25,16.0,0 days 01:50:36,beijing_2008,CHN
4392,5823,Bruno,Pais,POR,54,0 days 00:18:27,0 days 00:00:26,0 days 00:58:47,0 days 00:00:26,0 days 00:32:31,17.0,0 days 01:50:40,beijing_2008,CHN
4392,6442,Jarrod,Shoemaker,USA,23,0 days 00:18:18,0 days 00:00:29,0 days 00:59:03,0 days 00:00:27,0 days 00:32:27,18.0,0 days 01:50:46,beijing_2008,CHN
4392,5324,Olivier,Marceau,SUI,44,0 days 00:18:54,0 days 00:00:29,0 days 00:58:18,0 days 00:00:31,0 days 00:32:37,19.0,0 days 01:50:50,beijing_2008,CHN
4392,5340,Filip,Ospaly,CZE,42,0 days 00:18:16,0 days 00:00:29,0 days 00:58:55,0 days 00:00:29,0 days 00:32:40,20.0,0 days 01:50:53,beijing_2008,CHN
4392,5331,Danylo,Sapunov,UKR,52,0 days 00:18:11,0 days 00:00:29,0 days 00:59:05,0 days 00:00:31,0 days 00:32:42,21.0,0 days 01:50:58,beijing_2008,CHN
4392,7747,Dmitry,Polyanskiy,RUS,25,0 days 00:18:14,0 days 00:00:26,0 days 00:59:07,0 days 00:00:29,0 days 00:32:52,22.0,0 days 01:51:10,beijing_2008,CHN
4392,5320,Sven,Riederer,SUI,45,0 days 00:18:13,0 days 00:00:34,0 days 00:58:52,0 days 00:00:27,0 days 00:33:10,23.0,0 days 01:51:19,beijing_2008,CHN
4392,7743,Alexander,Bryukhankov,RUS,24,0 days 00:18:10,0 days 00:00:29,0 days 00:59:08,0 days 00:00:32,0 days 00:33:00,24.0,0 days 01:51:22,beijing_2008,CHN
4392,10146,Dirk,Bockel,LUX,55,0 days 00:18:26,0 days 00:00:26,0 days 00:57:52,0 days 00:00:26,0 days 00:34:19,25.0,0 days 01:51:31,beijing_2008,CHN
4392,5349,Juraci,Moreira,BRA,8,0 days 00:18:24,0 days 00:00:29,0 days 00:58:50,0 days 00:00:29,0 days 00:33:21,26.0,0 days 01:51:35,beijing_2008,CHN
4392,5624,Peter,Croes,BEL,17,0 days 00:18:26,0 days 00:00:26,0 days 00:58:51,0 days 00:00:31,0 days 00:33:24,27.0,0 days 01:51:40,beijing_2008,CHN
4392,5629,Paul,Tichelaar,CAN,15,0 days 00:18:24,0 days 00:00:26,0 days 00:58:51,0 days 00:00:29,0 days 00:33:34,28.0,0 days 01:51:45,beijing_2008,CHN
4392,5310,Reto,Hug,SUI,43,0 days 00:18:54,0 days 00:00:26,0 days 00:58:20,0 days 00:00:29,0 days 00:33:53,29.0,0 days 01:52:04,beijing_2008,CHN
4392,5654,Ryosuke,Yamamoto,JPN,6,0 days 00:18:27,0 days 00:00:26,0 days 00:58:52,0 days 00:00:29,0 days 00:33:55,30.0,0 days 01:52:11,beijing_2008,CHN
4392,5605,Sander,Berk,NED,2,0 days 00:18:13,0 days 00:00:27,0 days 00:59:05,0 days 00:00:34,0 days 00:33:57,31.0,0 days 01:52:17,beijing_2008,CHN
4392,5802,Matthew,Reed,USA,22,0 days 00:18:25,0 days 00:00:29,0 days 00:58:48,0 days 00:00:27,0 days 00:34:19,32.0,0 days 01:52:30,beijing_2008,CHN
4392,5339,Daniel,Fontana,ITA,10,0 days 00:18:22,0 days 00:00:27,0 days 00:58:55,0 days 00:00:27,0 days 00:34:25,33.0,0 days 01:52:39,beijing_2008,CHN
4392,5834,Shane,Reed,NZL,29,0 days 00:18:00,0 days 00:00:27,0 days 00:59:19,0 days 00:00:26,0 days 00:34:34,34.0,0 days 01:52:47,beijing_2008,CHN
4392,5341,Volodymyr,Polikarpenko,UKR,19,0 days 00:18:23,0 days 00:00:29,0 days 00:58:58,0 days 00:00:29,0 days 00:34:32,35.0,0 days 01:52:51,beijing_2008,CHN
4392,5662,Laurent,Vidal,FRA,40,0 days 00:18:49,0 days 00:00:29,0 days 00:58:24,0 days 00:00:29,0 days 00:34:51,36.0,0 days 01:53:02,beijing_2008,CHN
4392,5929,Reinaldo,Colucci,BRA,7,0 days 00:18:52,0 days 00:00:26,0 days 00:58:28,0 days 00:00:29,0 days 00:34:56,37.0,0 days 01:53:13,beijing_2008,CHN
4392,5582,Simon,Agoston,AUT,47,0 days 00:18:19,0 days 00:00:29,0 days 00:59:00,0 days 00:00:31,0 days 00:35:02,38.0,0 days 01:53:23,beijing_2008,CHN
4392,5296,Kris,Gemmell,NZL,28,0 days 00:18:40,0 days 00:00:24,0 days 00:58:34,0 days 00:00:26,0 days 00:35:42,39.0,0 days 01:53:49,beijing_2008,CHN
4392,5664,Emilio,D'Aquino,ITA,9,0 days 00:18:22,0 days 00:00:27,0 days 00:58:55,0 days 00:00:29,0 days 00:35:43,40.0,0 days 01:53:58,beijing_2008,CHN
